question,answer
What information should I provide to get a naturalization record?,"The more information you provide, the better. This information includes, but is not limited to, the following:
Complete name,Complete name,
Date of birth,Date of birth,
Certificate number (if available),Certificate number (if available),
Date of entry,Date of entry,
Port of entry,Port of entry,
If accompanied, provide the names of companions (e.g., spouse’s name)If accompanied, provide the names of companions (e.g., spouse’s name)
If the person is deceased, please provide proof of death (such as a death certificate or executorship).If the person is deceased, please provide proof of death (such as a death certificate or executorship).
"
Can non-residents of Canada who are conducting genealogical research access family records held by Canadian federal institutions?,"No. Only Canadian citizensCanadian citizens and permanent residentspermanent residents can make a request for information under the Access to Information ActAccess to Information Act and the Privacy ActPrivacy Act. However, you may ask a Canadian citizen or a permanent resident to submit an Access to Information request on your behalf. Keep in mind that the records will be mailed to the requester within Canada. It is also important to note that we require written consent (signed and dated) or proof of executorship, if the individual whose personal information is being sought has been deceased for less than 20 years."
"I sponsored a family member who resides outside of Canada, and he/she applied for permanent residence at a visa office overseas. Can I obtain information on that file?","A: Yes. If you are seeking personal information about someone other than yourself, in this case, a family member’s file, you must: 
send a request under the Access to Information Act,send a request under the Access to Information ActAccess to Information Act,
get written consent from the family member, and anyone else over 18 years of age who is included in the file, to get their personal information andget written consent from the family member, and anyone else over 18 years of age who is included in the file, to get their personal information and
pay a C$5.00 application fee.pay a C$C$5.00 application fee.
If, however, you are requesting information contained in your own sponsorship file, you must submit a request under the Privacy ActPrivacy Act and no fees apply."
How do I adopt a child from another country?,"Intercountry adoptions are a two step processtwo step process.  FirstFirst, there is the adoption processadoption process, which involves your province or territory of residence and the country from which you want to adopt. Please consult the intercountry adoption authorityintercountry adoption authority in your home province/territory for more information on how to adopt.The secondsecond step is the immigration or citizenship processimmigration or citizenship process. This is where Immigration, Refugees and Citizenship Canada comes in. Once the adoption has been authorized by the adoption authorities of your province/territory and  the country where the child lives, you can proceed with the immigration or citizenship process to bring your adopted child to Canada. You should consult the website to decide which process to use.We play  no role in the first step of the intercountry adoption processWe play  no roleno role in the first step of the intercountry adoption process. The immigration or citizenship process cannot proceed until the adoption has been approved by your province or territory and the adoption authority of the country where the child is being adoption from."
"I’m a temporary resident, can I apply to adopt a child from another country?",No. In order to be eligible to adopt a child from another country you must either be a Canadian citizensCanadian citizens or a permanent residentspermanent residents. Temporary residentsTemporary residents are not eligible to apply for sponsorship to adopt a child.
My adoption is complete. What do I need now to bring my adopted child to Canada?,"Once the province or territory issues a letter of no objectionletter of no objection, you can begin the immigration or citizenship process to bring your adopted child to Canada. You should consult the website to decide which process to useprocess to use.Once you’ve decided on the process, you can get an application online. For more information see: how to apply through the immigration processimmigration process; and through the citizenship processcitizenship process."
"Does an adopted child need a travel document, like a visa, to come to Canada?","Yes. Before bringing your child to Canada, you must apply for the necessary travel document in order for your child to legally enter Canada. The document is either a permanent resident visapermanent resident visa, or a Canadian passport through a grant of citizenship. To avoid unnecessary delays and costs, adoptive parents should not plan to return to Canada with the adopted child until they know with certainty that all immigration or citizenship requirements have been met."
How long will the adoption process take?,"Adopting a child in another country takes time. Depending on the child’s country of origin, the process may take two years or longer.Adoption cases are processed on a priority basis. That is true whether parents are applying for permanent residence or citizenship for their adopted child. There are no significant differences in processing times between the two processes. Find out more about processing timesprocessing times.Long waits can seem unreasonable when you are anxious to welcome a new family member. However, to protect the child’s rights, international adoption must be a rigorous process. Both your provincial or territorial government in Canada, and the government of the country where the child lives, must approve the adoption.To ensure the child’s rights are protected, visa officers must be satisfied that:
adoptions are made in the best interests of child;adoptions are made in the best interests of child;
adopted children have not been sold, trafficked or abducted from their parents; andadopted children have not been sold, trafficked or abducted from their parents; and
documentation for the child is valid.documentation for the child is valid.
While not common, in countries where there is evidence of fraud or trafficking, investigations may be required. These investigations may take time.See also Checking Processing Times questionsChecking Processing Times questions."
"I’ve done the necessary paperwork, I’m a citizen or permanent resident of good standing, and I went through a reputable adoption agency. Why is my adoption taking so long?","Intercountry adoption is a complex process. Canadian families planning to adopt a child in another country should understand that, even under ideal conditions, the process will take time. Depending on the child’s country of origin, it is not unusual for the entire process to take two years or even longer.Intercountry adoption procedures established by IRCC are intended to protect the child. These include evidence that the biological parents have given their free and informed consent to the adoption before it takes place, and confirmation that the adoption is in accordance with the laws of both countries.
  In some parts of the world, child trafficking is a serious concern, and documentation is non-existent or unreliable, or there is evidence of wrongdoing in the adoption system or limited infrastructure to support the protection of children.  In these cases, we must do additional verifications to ensure the child was not taken from, or sold by, their biological parents.
"
Do the criteria for permanent residence and for a grant of citizenship differ for adopted children?,"Yes. For an adopted  person to be eligible for a direct grant of citizenship for adopted persons at  least one of the adoptive parents must be a Canadian citizen at the time of the  adoption, or, for adoptions that took place prior to January 1, 1947, at least  one adoptive parent must have become a Canadian citizen on January 1, 1947 (or  April 1, 1949, in the case of Newfoundland and Labrador for adoptions that took  place prior to April 1, 1949) and be able to pass on Canadian citizenship to  the adopted person. Other types of custody arrangements and adoption-like  situations (guardianships) do not meet the requirements for a direct grant of  citizenship for adopted persons. The adoptive  parent must be eligible to pass on citizenship by descentadoptive  parent must be eligible to pass on citizenship by descent.If you choose to apply  for citizenship through the direct grant of citizenship, your child will be  affected by the first-generation limitfirst-generation limit to citizenship by  descent. That means he or she will not be able to:
pass on their citizenship to any children he or she later has outside Canada; orpass on their citizenship to any children he or she later has outside Canada; or
apply for a direct grant for any children he or she later adopts outside Canada, unless the co-sponsor for the adoption is a Canadian citizen by birth in Canada or through naturalization.apply for a direct grant for any children he or she later adopts outside Canada, unless the co-sponsor for the adoption is a Canadian citizen by birth in Canada or through naturalization.
Both Canadian citizensCanadian citizens and permanent residentspermanent residents can use the immigration process  for their adopted children if the adopted person is going to live in Canada  right after the adoption.Another difference  between the two processes is the adopted child does not have to undergo a  medical exam or background checks when applying for a direct grant  of citizenship. These are   requirements when applying for permanent  residence.Where the  requirements are the same for both  types of applications, the adoption must:
be in the best interests of the child;be in the best interests of the child;
create a genuine parent-child relationship that permanently severs the legal ties to the child’s biological parents;create a genuine parent-child relationship that permanently severs the legal ties to the child’s biological parents;
accord with the laws of the country where the adoption took place and the laws where the adoptive parents live; andaccord with the laws of the country where the adoption took place and the laws where the adoptive parents live; and
not have been entered into primarily to get a citizenship or immigration status or privilege.not have been entered into primarily to get a citizenship or immigration status or privilege.
If the adoption took  place after the person turned 18:
all the  requirements listed above must be met (except for the “best interests of the child”);all the  requirements listed above must be met (except for the “best interests of the child”);
a genuine parent-child relationship must have existed when the adoption took place; anda genuine parent-child relationship must have existed when the adoption took place; and
that relationship must have existed before the adopted person turned 18.that relationship must have existed before the adopted person turned 18.
Strengthening  Canadian Citizenship Act"
Are the fees the same for an adopted child for the permanent residence and citizenship processes?,"No. The fees for permanent residence and citizenship applications differ. The Immigration and Refugee Protection ActImmigration and Refugee Protection Act and the Citizenship ActCitizenship Act also use different age ranges for their fees.Permanent residenceA sponsorship fee and processing fee are required. If, when applying, the adopted person 19 years of age or over, the processing fee is higher. See the fees list for sponsorship and processing feessponsorship and processing fees for permanent residence.CitizenshipA separate processing fee is required. If, when applying, the adopted person is an adult (18 or older), the processing fee is higher and the right of citizenship fee is required. See the fees list for the processing and right of citizenship feesprocessing and right of citizenship fees."
Are there countries from which I cannot adopt?,The list of countries with restrictions or suspensionscountries with restrictions or suspensions can change at any time.
I have applied for permanent residence for my adopted child. Is it too late to apply for citizenship instead?,"No. You can apply for a grant of citizenship for your adopted child, if:
at least one parent is a Canadian citizen by birth in Canada or through naturalization at the time of the adoption; andat least one parent is a Canadian citizen by birth in Canada or through naturalization at the time of the adoption; and
you submit a citizenship grant application with the right documents and fees.you submit a citizenship grant applicationcitizenship grant application with the right documents and fees.
You do not need to withdraw your existing permanent residence application. However, if you do, you may be eligible for a refund, depending on when you withdraw.
If you withdraw your application before the visa office has assessed the sponsorship portion, you will get a full refund.If you withdraw your application before the visa office has assessed the sponsorship portion, you will get a full refund.
If the visa office has assessed the sponsorship portion but hasn’t started processing the permanent residence portion, you will get a partial refund (C$75 for children under 19 and C$475 for adults 19 or older).If the visa office has assessed the sponsorship portion but hasn’t started processing the permanent residence portion, you will get a partial refund (C$75 for children under 19 and C$C$475 for adults 19 or older).
Once the visa office has started processing the permanent residence portion, you will not get a refund.Once the visa office has started processing the permanent residence portion, you will not get a refund.
"
My adopted child has permanent residence. How can I apply for citizenship for him or her?,"If your  adopted child is already a permanent resident, you can apply for a grant of  citizenship. The same application form and fees apply to permanent  or non-permanent residents. Adoptive parents can apply for either:
a regular grant for a minor child of a Canadian; ora regular grant for a minor child of a Canadian; or
a grant of citizenship under the adoption provision. a grant of citizenship under the adoption provision. 
If you  are an adoptive parent with permanent resident status, you can apply for  citizenship for the child at the same time you apply for yourself.Applying under the adoption provisionIf you  choose the grant of citizenship under the adoption provision, your child will  be affected by the first-generation limitfirst-generation limit. That  means your child will not be able to:
pass on their citizenship to any children he or she later has outside Canada; orpass on their citizenship to any children he or she later has outside Canada; or
apply for a direct grant for any  children he or she later adopts outside Canada  unless the other adoptive parent is a Canadian citizen by birth in Canada or  through naturalization. apply for a direct grant for any  children he or she later adopts outside Canada  unless the other adoptive parent is a Canadian citizen by birth in Canada or  through naturalization. 
Passing on citizenship to an adoptive childAdoptive parents can pass on their Canadian Citizenship to  an adopted child if the: 
Adoptive parents were Canadian  citizens by birth in Canada or by naturalization at the time of adoption.Adoptive parents were Canadian  citizens by birth in Canada or by naturalizationnaturalization at the time of adoption.
Adoptions happened before  January 1, 1947, and at least one parent was a Canadian citizen on January 1, 1947.Adoptions happened before  January 1, 1947, and at least one parent was a Canadian citizen on January 1, 1947.
Adoptions happened in Newfoundland and Labrador  before April 1, 1949.Adoptions happened in Newfoundland and Labrador  before April 1, 1949.
"
How does adoption affect my child’s relationship with her or his biological parents?,"For both the immigration and citizenship process, an adoption is valid only if it ends the child’s legal relationship with the biological parents, and a new legal relationship is established between the adopting parents and the adopted child.This means the child cannot later sponsor his/her biological relatives to come to Canada."
"If my adopted child’s application is refused, what can I do?","The process to appeal the decision is different for the immigration and citizenship process.ImmigrationImmigrationIf your adopted child’s application for permanent residence is refused, you may appeal the decision to the Immigration Appeal DivisionImmigration Appeal Division at the Immigration and Refugee Board.CitizenshipCitizenshipIf your adopted child’s application for a grant of citizenship is refused, you may apply for a judicial review of the decision to the Federal Court of CanadaFederal Court of Canada."
Will my child automatically have the right to a Canadian passport once he or she gets citizenship?,"Yes. As a Canadian citizen, your child can apply for a Canadian passport right after getting citizenship. To do so, he or she will need a citizenship certificate. However, if you cannot wait for the citizenship certificatecitizenship certificate to be issued to your adopted child, you may apply for a passport without one. With your consent, we will send confirmation of your child’s grant of citizenship to the Canadian government office outside Canada that will issue the passport."
"How long will it take to get a Canadian passport for my child, once he or she gets citizenship?","Passports are issued by Passport Canada and not Immigration, Refugees and Citizenship Canada. Please check the Passport Canada websitePassport Canada website for information on processing times."
I live in Quebec. Must a Quebec court recognize the adoption before my child can get citizenship?,"No, your child can obtain Canadian citizenship before that recognition if:
the adoption meets the requirements of subsection 5.1(3) of the Citizenship Act; andthe adoption meets the requirements of subsection 5.1(3) of the Citizenship Actsubsection 5.1(3) of the Citizenship ActCitizenship Act; and
the Québec government confirms that the formal recognition is the only part of the adoption process still to be completed.the Québec government confirms that the formal recognition is the only part of the adoption process still to be completed.
Please note that a Québec court must formally recognize the adoption for it to have effect in Québec only if the sending country has not ratified the Hague Convention. This is not required in cases where the sending country has ratified the Hague Convention.The Secrétariat à l’adoption internationaleSecrétariat à l’adoption internationale (SAISAI) is the authority responsible for intercountry adoptions in Québec."
"Should I apply for permanent residence for my adopted child, rather than Canadian citizenship?","Permanent residence might be better suited to some people than citizenship. For example, some parents might want to let their adopted child choose to become a Canadian citizen as an adult, rather than decide on behalf of their child. That might be especially true if their adopted child is from a country that does not recognize multiple citizenships.Also, adoptees who become permanent residents before applying for citizenship will be able to:
pass on their citizenship to children they may later have abroad; orpass on their citizenship to children they may later have abroad; or
apply for a direct grant of citizenship for children they may later adopt abroad.apply for a direct grant of citizenship for children they may later adopt abroad.
Adoptees acquiring citizenship directly will not be able to do either of those things due to the first-generation limitfirst-generation limit, unless the other parent is a Canadian citizen through birth or naturalization in Canada.Also, in order to apply for the direct route of citizenship on the behalf of your adoptive child, you must be a Canadian citizen born or naturalized in Canada.Parents applying on behalf of a child whose adoption will be finalized in Canada will still need to apply for permanent residence."
What is the Hague Convention?,"The Hague ConventionHague Convention protects children and their families against the risks of illegal, irregular, premature or ill-prepared adoptions abroad. To do this, the Hague Convention puts: 
safeguards in place to make sure that all intercountry adoptions are in the best interests of the child and respects their human rights, safeguards in place to make sure that all intercountry adoptions are in the best interests of the child and respects their human rights, 
a system in place of cooperation among countries to guarantee that these safeguards are respected, and to prevent the abduction of, sale of, or traffic in children. a system in place of cooperation among countries to guarantee that these safeguards are respected, and to prevent the abduction of, sale of, or traffic in children. 
For Hague adoptions, the authorities in both countries must agree to go ahead with the adoption. For non-Hague adoptions, requirements may vary from one country to another.The Hague Convention does not allow private adoptions in the child's home country. Adoption is a handled by the provinces and territories, and they all have and follow laws implementing the Hague Convention. They can explain the rules you need to follow under the Hague Convention and for adoptions from a country that is not a party to the Convention.Find an intercountry adoption authority in CanadaFind an intercountry adoption authority in Canada."
Can I adopt a child from countries experiencing armed conflict or natural disasters?,"No. Canada follows the recommendations set out by the Hague ConventionHague Convention: Children from countries suffering from armed conflicts and natural disasters should not be considered for international adoption, and family tracing should be the priority in all cases."
How can I check the status of my application?,"It depends on the type of application.Online applicationsOnline applications
If you applied online, you can check your status in your account:If you applied online, you can check your status in your account:

Sign in to your account.
Under View my submitted applications or profiles click on check status and messages.

Sign in to your account.Sign in to your accountSign in to your account.
Under View my submitted applications or profiles click on check status and messages.Under View my submitted applications or profilesView my submitted applications or profiles click on check status and messagescheck status and messages.

If you applied online for an eTA, you can check online. You’ll need the application number that is on the email confirmation we sent you.If you applied online for an eTAeTA, you can check onlinecheck online. You’ll need the application number that is on the email confirmation we sent you.
Paper applicationsPaper applications
You can check the status of your paper application online by:You can check the status of your paper application online by:

 using the  online tool, which is updated daily or 
creating an online account and linking your paper application to it. You’ll get:
      
detailed application status in real-time and
messages about your application online instead of by mail.



 using the  online tool, which is updated daily or  using the  online tool online tool, which is updated daily or 
creating an online account and linking your paper application to it. You’ll get:
      
detailed application status in real-time and
messages about your application online instead of by mail.

creating an online accountcreating an online account and linking your paper applicationlinking your paper application to it. You’ll get:
      
detailed application status in real-time and
messages about your application online instead of by mail.

detailed application status in real-time anddetailed application status in real-time and
messages about your application online instead of by mail.messages about your application online instead of by mail.



Not all people who applied on paper can check their status through an online account. See  which applications you can link to your online account.Not all people who applied on paper can check their status through an online account. See  which applications you can link to your online account which applications you can link to your online account.
"
